D03_Huawei_P9/flat_frames/vid1/p, 8848.508909s
D04_LG_D290/flat_frames/vid1/p, 1653.539434s
D07_Lenovo_P70A/flat_frames/vid1/p, 3789.335154s
D12_Sony_XperiaZ1Compact/flat_frames/vid1/p, 8126.657838s
D17_Microsoft_Lumia640LTE/flat_frames/vid1/p, 2649.234795s
D21_Wiko_Ridge4G/flat_frames/vid1/p, 7975.274305s
D23_Asus_Zenfone2Laser/flat_frames/vid1/p, 1361.664680s
D24_Xiaomi_RedmiNote3/flat_frames/vid1/p, 8127.068988s
D25_OnePlus_A3000/flat_frames/vid1/p, 15093.403418s
